time,open,high,low,close
2021/12/05 18:30,381.29,383.86,378.92,383.2
2021/12/05 22:30,381.29,383.86,378.92,383.2
2021/12/06 02:30,381.29,383.86,378.92,383.2
2021/12/06 06:30,381.29,383.86,378.92,383.2
2021/12/06 10:30,381.29,383.86,378.92,383.2
2021/12/06 14:30,383.63,387.09,379.3,386.88
2021/12/06 18:30,387.0,387.59,385.83,386.32
2021/12/06 22:30,387.0,387.59,385.83,386.32
2021/12/07 02:30,387.0,387.59,385.83,386.32
2021/12/07 06:30,387.0,387.59,385.83,386.32
2021/12/07 10:30,387.0,387.59,385.83,386.32
2021/12/07 14:30,393.12,398.26,393.08,397.8
2021/12/07 18:30,397.86,398.44,395.99,397.95
2021/12/07 22:30,397.86,398.44,395.99,397.95
2021/12/08 02:30,397.86,398.44,395.99,397.95
2021/12/08 06:30,397.86,398.44,395.99,397.95
2021/12/08 10:30,397.86,398.44,395.99,397.95
2021/12/08 14:30,398.17,398.75,396.22,398.51
2021/12/08 18:30,398.47,399.81,397.91,399.62
2021/12/08 22:30,398.47,399.81,397.91,399.62
2021/12/09 02:30,398.47,399.81,397.91,399.62
2021/12/09 06:30,398.47,399.81,397.91,399.62
2021/12/09 10:30,398.47,399.81,397.91,399.62
2021/12/09 14:30,398.35,400.19,396.32,396.62
2021/12/09 18:30,396.6,397.15,393.53,393.74
2021/12/09 22:30,396.6,397.15,393.53,393.74
2021/12/10 02:30,396.6,397.15,393.53,393.74
2021/12/10 06:30,396.6,397.15,393.53,393.74
2021/12/10 10:30,396.6,397.15,393.53,393.74
2021/12/10 14:30,396.62,398.06,393.37,396.71
2021/12/10 18:30,396.71,398.28,395.57,398.04
2021/12/10 22:30,396.71,398.28,395.57,398.04
2021/12/11 02:30,396.71,398.28,395.57,398.04
2021/12/11 06:30,396.71,398.28,395.57,398.04
2021/12/11 10:30,396.71,398.28,395.57,398.04
2021/12/11 14:30,396.71,398.28,395.57,398.04
2021/12/11 18:30,396.71,398.28,395.57,398.04
2021/12/11 22:30,396.71,398.28,395.57,398.04
2021/12/12 02:30,396.71,398.28,395.57,398.04
2021/12/12 06:30,396.71,398.28,395.57,398.04
2021/12/12 10:30,396.71,398.28,395.57,398.04
2021/12/12 14:30,396.71,398.28,395.57,398.04
2021/12/12 18:30,396.71,398.28,395.57,398.04
2021/12/12 22:30,396.71,398.28,395.57,398.04
2021/12/13 02:30,396.71,398.28,395.57,398.04
2021/12/13 06:30,396.71,398.28,395.57,398.04
2021/12/13 10:30,396.71,398.28,395.57,398.04
2021/12/13 14:30,398.0,398.32,392.82,393.68
2021/12/13 18:30,393.73,395.18,391.88,392.28
2021/12/13 22:30,393.73,395.18,391.88,392.28
2021/12/14 02:30,393.73,395.18,391.88,392.28
2021/12/14 06:30,393.73,395.18,391.88,392.28
2021/12/14 10:30,393.73,395.18,391.88,392.28
2021/12/14 14:30,387.31,390.09,383.79,385.05
2021/12/14 18:30,385.02,389.38,384.12,388.34
2021/12/14 22:30,385.02,389.38,384.12,388.34
2021/12/15 02:30,385.02,389.38,384.12,388.34
