datetime,open,high,low,close,volume,atr
2024-02-15 15:30:00,432.34,432.64,432.04,432.45,96655,0.638256471
2024-02-15 15:35:00,432.39,432.75,432.19,432.67,82632,0.632666723
2024-02-15 15:40:00,432.69,432.81,432.4,432.47,66617,0.616761957
2024-02-15 15:45:00,432.46,432.91,432.35,432.91,76741,0.612707532
2024-02-15 15:50:00,432.93,433.14,432.74,432.94,64944,0.597514136
2024-02-15 15:55:00,432.93,433.06,432.56,432.92,63069,0.590548841
2024-02-15 16:00:00,432.95,433.07,431.79,431.89,141987,0.639795352
2024-02-15 16:05:00,431.9,432.08,431.33,431.47,121764,0.647667113
2024-02-15 16:10:00,431.47,432.11,431.33,431.94,111299,0.657119462
2024-02-15 16:15:00,431.96,432.08,431.78,431.87,60435,0.631610929
2024-02-15 16:20:00,431.85,432.38,431.8,432.21,73534,0.627924434
2024-02-15 16:25:00,432.2,432.65,432.07,432.55,55069,0.62450126
2024-02-15 16:30:00,432.58,432.74,432.36,432.43,51578,0.607036884
2024-02-15 16:35:00,432.44,432.75,432.42,432.75,36227,0.587248536
2024-02-15 16:40:00,432.77,433.02,432.74,432.82,56288,0.565302212
2024-02-15 16:45:00,432.83,432.94,432.69,432.77,32685,0.542780625
2024-02-15 16:50:00,432.72,432.74,432.12,432.46,50528,0.550439152
2024-02-15 16:55:00,432.44,432.699,432.19,432.64,56465,0.547479212
2024-02-15 17:00:00,432.66,432.83,432.35,432.56,44355,0.542659269
2024-02-15 17:05:00,432.52,432.65,432.27,432.6,24535,0.531040749
2024-02-15 17:10:00,432.63,433.04,432.62,432.95,76442,0.524537839
2024-02-15 17:15:00,432.99,433.24,432.89,433.24,50031,0.51207085
2024-02-15 17:20:00,433.24,433.24,433.01,433.16,89353,0.491922932
2024-02-15 17:25:00,433.11,433.56,433.08,433.44,56767,0.491071294
2024-02-15 17:30:00,433.47,433.56,433.27,433.49,45276,0.476709059
2024-02-15 17:35:00,433.49,433.64,433.35,433.57,42014,0.463372698
2024-02-15 17:40:00,433.58,433.7,433.49,433.65,27429,0.445274648
2024-02-15 17:45:00,433.65,433.78,433.2,433.345,61216,0.454897887
2024-02-15 17:50:00,433.31,433.51,433.27,433.38,27913,0.439548038
2024-02-15 17:55:00,433.4,433.43,433.03,433.08,61606,0.436723178
2024-02-15 18:00:00,433.07,433.26,433.0,433.15,48103,0.424100094
2024-02-15 18:05:00,433.13,433.92,433.11,433.76,96030,0.451664373
2024-02-15 18:10:00,433.79,434.14,433.68,433.91,81480,0.452259775
2024-02-15 18:15:00,433.915,434.61,433.91,434.6,123035,0.469955505
2024-02-15 18:20:00,434.6,434.74,434.29,434.52,112734,0.468530112
2024-02-15 18:25:00,434.53,434.73,434.39,434.72,65479,0.45934939
2024-02-15 18:30:00,434.72,434.98,434.61,434.73,124279,0.452967291
2024-02-15 18:35:00,434.74,434.74,434.35,434.63,71588,0.448469627
2024-02-15 18:40:00,434.63,434.75,434.2,434.32,62662,0.455721797
2024-02-15 18:45:00,434.36,434.45,434.22,434.28,50187,0.439598811
2024-02-15 18:50:00,434.28,434.49,434.22,434.24,61688,0.42748461
2024-02-15 18:55:00,434.24,434.48,434.1,434.46,41372,0.424092852
2024-02-15 19:00:00,434.47,434.58,434.23,434.51,63334,0.418800506
2024-02-15 19:05:00,434.51,434.78,434.28,434.52,73703,0.42460047
2024-02-15 19:10:00,434.53,434.55,433.74,434.09,82458,0.452129008
2024-02-15 19:15:00,434.1,434.45,433.985,434.44,89146,0.453048364
2024-02-15 19:20:00,434.41,434.52,434.27,434.52,81680,0.43854491
2024-02-15 19:25:00,434.53,434.53,434.01,434.43,66395,0.44436313
2024-02-15 19:30:00,434.4,434.56,434.33,434.52,44875,0.429051478
2024-02-15 19:35:00,434.51,434.75,434.48,434.48,44621,0.417690658
2024-02-15 19:40:00,434.5,434.73,434.4,434.61,50394,0.41142704
2024-02-15 19:45:00,434.645,434.8,434.61,434.8,24943,0.395610823
2024-02-15 19:50:00,434.79,434.86,434.58,434.75,39011,0.387352907
2024-02-15 19:55:00,434.74,434.84,434.3,434.35,72574,0.398256271
2024-02-15 20:00:00,434.37,434.51,434.12,434.49,71401,0.397666537
2024-02-15 20:05:00,434.5,434.51,433.98,434.04,64775,0.407118927
2024-02-15 20:10:00,434.07,434.5,434.06,434.38,68926,0.410896147
2024-02-15 20:15:00,434.37,434.48,433.97,434.02,77620,0.417974993
2024-02-15 20:20:00,434.0,434.16,433.54,433.6,67811,0.432405351
2024-02-15 20:25:00,433.61,434.15,433.585,434.07,86891,0.441876397
2024-02-15 20:30:00,434.07,434.21,434.0,434.06,50222,0.425313798
2024-02-15 20:35:00,434.06,434.14,433.91,433.96,42445,0.411362812
2024-02-15 20:40:00,433.98,434.12,433.95,434.07,40055,0.394122611
2024-02-15 20:45:00,434.08,434.15,433.77,433.82,93408,0.393113853
2024-02-15 20:50:00,433.84,434.49,433.81,434.42,230609,0.413605721
2024-02-15 20:55:00,434.41,434.6,434.215,434.53,431081,0.411562455
2024-02-16 14:30:00,434.88,434.99,433.95,434.5,178496,0.456450851
2024-02-16 14:35:00,434.43,434.83,434.14,434.2,130380,0.473132933
2024-02-16 14:40:00,434.23,434.44,433.72,433.77,105226,0.490766295
2024-02-16 14:45:00,433.71,434.14,433.31,433.35,88677,0.514997274
2024-02-16 14:50:00,433.34,433.4,431.19,431.23,187301,0.636068897
2024-02-16 14:55:00,431.26,431.49,430.73,431.24,207626,0.644921119
2024-02-16 15:00:00,431.18,431.18,429.86,430.67,353085,0.697426753
2024-02-16 15:05:00,430.68,431.08,430.33,431.03,96686,0.701181985
2024-02-16 15:10:00,430.98,431.35,430.56,430.99,108644,0.707526129
2024-02-16 15:15:00,431.0,431.68,430.81,431.54,86380,0.719131406
2024-02-16 15:20:00,431.51,431.59,430.68,430.83,77531,0.732764877
2024-02-16 15:25:00,430.84,431.1,430.52,431.04,71915,0.7218531
2024-02-16 15:30:00,431.04,431.15,430.42,430.69,114206,0.722435021
2024-02-16 15:35:00,430.7,432.02,430.56,432.0,78242,0.775118234
2024-02-16 15:40:00,432.02,432.29,431.86,431.88,91124,0.750466932
2024-02-16 15:45:00,431.9,432.34,431.5,431.56,142723,0.756862151
2024-02-16 15:50:00,431.57,432.15,431.57,432.11,59864,0.744943426
2024-02-16 15:55:00,432.12,432.16,431.49,432.04,64044,0.739590324
2024-02-16 16:00:00,432.04,432.65,431.97,432.55,64292,0.735333872
2024-02-16 16:05:00,432.57,432.81,432.26,432.79,82123,0.722095738
2024-02-16 16:10:00,432.8,433.28,432.6,433.26,61081,0.7190889
2024-02-16 16:15:00,433.27,433.5,433.17,433.3,84098,0.691296836
2024-02-16 16:20:00,433.33,433.69,433.3,433.49,97514,0.669775633
2024-02-16 16:25:00,433.49,433.529,433.25,433.36,49542,0.641863088
2024-02-16 16:30:00,433.44,433.8,433.36,433.49,84589,0.627444296
2024-02-16 16:35:00,433.48,433.52,433.17,433.35,54216,0.607626846
2024-02-16 16:40:00,433.38,433.79,433.31,433.59,77520,0.598510643
2024-02-16 16:45:00,433.6,433.61,433.02,433.13,86635,0.59790274
2024-02-16 16:50:00,433.11,433.52,432.93,433.45,59316,0.597338258
2024-02-16 16:55:00,433.45,434.08,433.37,433.74,87394,0.605385526
2024-02-16 17:00:00,433.7,433.96,433.6,433.96,73274,0.587857988
2024-02-16 17:05:00,433.85,433.85,433.37,433.39,46421,0.588010989
2024-02-16 17:10:00,433.36,433.47,433.145,433.28,46778,0.56922449
2024-02-16 17:15:00,433.25,433.41,433.13,433.24,34597,0.548565598
2024-02-16 17:20:00,433.23,433.62,433.14,433.62,33823,0.543668055
2024-02-16 17:25:00,433.61,433.8,433.41,433.79,71309,0.532691765
